Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PosÿSummary
MartinÿPrado\pradoma01,33,MIA,NL,37,147,140,13,35,9,0,2,12,0,0,6,22,0.25,0.279,0.357,0.636,73,50,4,0,0,1,0,5/D
AlexÿPresley*\preslal01,31,DET,AL,71,264,245,30,77,10,3,3,20,5,0,15,49,0.314,0.354,0.416,0.77,105,102,5,0,3,0,0,987/D
RyanÿPressly\pressry01,28,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
DavidÿPrice*\priceda01,31,BOS,AL,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,430,1,0,0,0,0,0,1
JuricksonÿProfar#\profaju01,24,TEX,AL,22,70,58,8,10,2,0,0,5,1,1,9,14,0.172,0.294,0.207,0.501,33,12,0,1,2,0,0,Jul-34
AustinÿPruitt\pruitau01,27,TBR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
CesarÿPuello\puellce01,26,TOT,AL,17,39,34,6,7,0,0,0,3,2,0,4,12,0.206,0.308,0.206,0.514,45,7,2,1,0,0,0,/7D9
CesarÿPuello\puellce01,26,LAA,AL,1,4,4,0,1,0,0,0,1,2,0,0,1,0.25,0.25,0.25,0.5,37,1,0,0,0,0,0,/7
CesarÿPuello\puellce01,26,TBR,AL,16,35,30,6,6,0,0,0,2,0,0,4,11,0.2,0.314,0.2,0.514,46,6,2,1,0,0,0,/7D9
YasielÿPuig\puigya01,26,LAD,NL,152,570,499,72,131,24,2,28,74,15,6,64,100,0.263,0.346,0.487,0.833,119,243,21,2,0,5,8,*9
AlbertÿPujols\pujolal01,37,LAA,AL,149,636,593,53,143,17,0,23,101,3,0,37,93,0.241,0.286,0.386,0.672,80,229,26,2,0,4,5,*D/3
KevinÿQuackenbush\quackke01,28,SDP,NL,18,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
ChadÿQualls\quallch01,38,COL,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
JoseÿQuintana\quintjo01,28,TOT,MLB,15,33,25,2,2,0,0,0,4,0,0,1,17,0.08,0.111,0.08,0.191,-49,2,0,0,6,1,0,1
JoseÿQuintana\quintjo01,28,CHW,AL,2,4,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,-100,0,0,0,0,1,0,1
JoseÿQuintana\quintjo01,28,CHC,NL,13,29,22,2,2,0,0,0,3,0,0,1,15,0.091,0.13,0.091,0.221,-41,2,0,0,6,0,0,1
RyanÿRaburn\raburry01,36,WSN,NL,25,69,65,7,17,1,2,2,6,0,1,4,25,0.262,0.304,0.431,0.735,87,28,1,0,0,0,0,7
ErasmoÿRamirez\ramirer02,27,TOT,AL,4,3,3,0,2,0,0,0,1,0,0,0,1,0.667,0.667,0.667,1.333,268,2,0,0,0,0,0,1
ErasmoÿRamirez\ramirer02,27,TBR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
ErasmoÿRamirez\ramirer02,27,SEA,AL,1,3,3,0,2,0,0,0,1,0,0,0,1,0.667,0.667,0.667,1.333,268,2,0,0,0,0,0,1
HanleyÿRamirez\ramirha01,33,BOS,AL,133,553,496,58,120,24,0,23,62,1,3,51,116,0.242,0.32,0.429,0.75,95,213,15,6,0,0,8,D3
J.C.ÿRamirez\ramirjc01,28,LAA,AL,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
JoseÿRamirez#\ramirjo01,24,CLE,AL,152,645,585,107,186,56,6,29,83,17,5,52,69,0.318,0.374,0.583,0.957,145,341,13,3,0,5,5,54
JoseÿRamirez\ramirjo02,27,ATL,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
NeilÿRamirez\ramirne01,28,TOT,NL,28,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
NeilÿRamirez\ramirne01,28,SFG,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
NeilÿRamirez\ramirne01,28,NYM,NL,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
AJÿRamos\ramosaj01,30,TOT,NL,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
AJÿRamos\ramosaj01,30,MIA,NL,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
AJÿRamos\ramosaj01,30,NYM,NL,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
EdubrayÿRamos\ramosed02,24,PHI,NL,56,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,1
WilsonÿRamos\ramoswi01,29,TBR,AL,64,224,208,19,54,6,0,11,35,0,0,10,36,0.26,0.29,0.447,0.737,97,93,11,0,0,3,2,2/D
ColbyÿRasmus*\rasmuco01,30,TBR,AL,37,129,121,17,34,7,1,9,23,1,0,7,45,0.281,0.318,0.579,0.896,137,70,1,0,0,1,2,7/9D8
JoshÿRavin\ravinjo01,29,LAD,NL,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0,1
RobbieÿRay*\rayro02,25,ARI,NL,27,61,53,5,13,2,0,0,2,0,0,3,23,0.245,0.286,0.283,0.569,46,15,0,0,5,0,0,1
RaudyÿRead\readra01,23,WSN,NL,8,11,11,1,3,0,0,0,0,0,0,0,3,0.273,0.273,0.273,0.545,42,3,0,0,0,0,0,/2
J.T.ÿRealmuto\realmjt01,26,MIA,NL,141,579,532,68,148,31,5,17,65,8,2,36,106,0.278,0.332,0.451,0.783,112,240,13,8,0,3,4,*2/3D
AnthonyÿRecker\reckean01,33,ATL,NL,6,7,7,1,1,0,0,0,0,0,0,0,1,0.143,0.143,0.143,0.286,-25,1,1,0,0,0,0,/2
JoshÿReddick*\reddijo01,30,HOU,AL,134,540,477,77,150,34,4,13,82,7,3,43,72,0.314,0.363,0.484,0.847,130,231,9,0,1,12,1,*978/D3
